"","date","GICS_SECTOR_NAME","div_yld"
"492",2018-12-24,"Industrials",2.74594508226323
"493",2018-12-24,"Consumer Discretionary",2.21903064607548
"494",2018-12-24,"Consumer Staples",3.14585145607794
"495",2018-12-24,"Health Care",2.18953168701307
"496",2018-12-24,"Financials",3.59988196069909
"497",2018-12-24,"Information Technology",1.90752051216031
"498",2018-12-24,"Communication Services",1.83276636687878
"499",2018-12-24,"Utilities",4.03312186517774
"500",2018-12-24,"Real Estate",3.93860784143666
"501",2018-12-24,NA,NA
"502",2018-12-31,"Energy",4.46181166048221
"503",2018-12-31,"Materials",3.65602683535453
"504",2018-12-31,"Industrials",2.69268092198352
"505",2018-12-31,"Consumer Discretionary",2.14968881733318
"506",2018-12-31,"Consumer Staples",3.14236895577252
"507",2018-12-31,"Health Care",2.13631004630876
"508",2018-12-31,"Financials",3.51586725388085
"509",2018-12-31,"Information Technology",1.84509948433428
"510",2018-12-31,"Communication Services",1.76841436250966
"511",2018-12-31,"Utilities",4.113147828301
"512",2018-12-31,"Real Estate",3.94382793794963
"513",2019-01-07,"Energy",4.27986204121145
"514",2019-01-07,"Materials",3.59716717818188
"515",2019-01-07,"Industrials",2.64539649790575
"516",2019-01-07,"Consumer Discretionary",2.07440848854406
"517",2019-01-07,"Consumer Staples",3.13182512567247
"518",2019-01-07,"Health Care",2.13235463526056
"519",2019-01-07,"Financials",3.43062497001139
"520",2019-01-07,"Information Technology",1.83548859450462
"521",2019-01-07,"Communication Services",1.70688472202764
"522",2019-01-07,"Utilities",4.1079744143362
"523",2019-01-07,"Real Estate",3.87034403496978
"524",2019-01-14,"Energy",4.18773008597481
"525",2019-01-14,"Materials",3.57940479142979
"526",2019-01-14,"Industrials",2.56769671497486
"527",2019-01-14,"Consumer Discretionary",2.02504288950525
"528",2019-01-14,"Consumer Staples",3.08957668467592
"529",2019-01-14,"Health Care",2.11506284228382
"530",2019-01-14,"Financials",3.39798457372681
"531",2019-01-14,"Information Technology",1.79983994735997
"532",2019-01-14,"Communication Services",1.7094204223149
"533",2019-01-14,"Utilities",4.10406648489064
"534",2019-01-14,"Real Estate",3.7658594994233
"535",2019-01-21,"Energy",4.10461001316624
"536",2019-01-21,"Materials",3.47168849094768
"537",2019-01-21,"Industrials",2.50197062795604
"538",2019-01-21,"Consumer Discretionary",1.96948407912192
"539",2019-01-21,"Consumer Staples",3.04019717910838
"540",2019-01-21,"Health Care",2.05374382546864
"541",2019-01-21,"Financials",3.38323834577148
"542",2019-01-21,"Information Technology",1.73344245503424
"543",2019-01-21,"Communication Services",1.66693601624302
"544",2019-01-21,"Utilities",4.04282710292341
"545",2019-01-21,"Real Estate",3.69239738218044
"546",2019-01-28,"Energy",4.20797324363996
"547",2019-01-28,"Materials",3.45969841961364
"548",2019-01-28,"Industrials",2.54640974303336
"549",2019-01-28,"Consumer Discretionary",1.97457167971473
"550",2019-01-28,"Consumer Staples",3.09166728652561
"551",2019-01-28,"Health Care",2.13776220385317
"552",2019-01-28,"Financials",3.41577429730197
"553",2019-01-28,"Information Technology",1.77269958070183
"554",2019-01-28,"Communication Services",1.72840511923514
"555",2019-01-28,"Utilities",4.0557061447004
"556",2019-01-28,"Real Estate",3.66620758945367
"557",2019-02-04,"Energy",4.12561020756673
"558",2019-02-04,"Materials",3.41390600499779
"559",2019-02-04,"Industrials",2.44015278398164
"560",2019-02-04,"Consumer Discretionary",1.98182272817083
"561",2019-02-04,"Consumer Staples",3.02703553909862
